Day,Month,Year,S&P500,Open,High,Low,Change %
14,6,2017,4703.53,"4,703.53","4,703.53","4,703.53",-0.09%
15,6,2017,4693.86,"4,693.86","4,693.86","4,693.86",-0.21%
16,6,2017,4695.23,"4,695.23","4,695.23","4,695.23",0.03%
19,6,2017,4734.48,"4,734.48","4,734.48","4,734.48",0.84%
20,6,2017,4702.82,"4,702.82","4,702.82","4,702.82",-0.67%
21,6,2017,4700.5,"4,700.50","4,700.50","4,700.50",-0.05%
22,6,2017,4698.4,"4,698.40","4,698.40","4,698.40",-0.04%
23,6,2017,4705.73,"4,705.73","4,705.73","4,705.73",0.16%
26,6,2017,4707.27,"4,707.27","4,707.27","4,707.27",0.03%
27,6,2017,4669.27,"4,669.27","4,669.27","4,669.27",-0.81%
28,6,2017,4711.33,"4,711.33","4,711.33","4,711.33",0.90%
29,6,2017,4670.96,"4,670.96","4,670.96","4,670.96",-0.86%
30,6,2017,4678.36,"4,678.36","4,678.36","4,678.36",0.16%
3,7,2017,4689.61,"4,689.61","4,689.61","4,689.61",0.24%
5,7,2017,4697.34,"4,697.34","4,697.34","4,697.34",0.16%
6,7,2017,4655.02,"4,655.02","4,655.02","4,655.02",-0.90%
7,7,2017,4684.88,"4,684.88","4,684.88","4,684.88",0.64%
10,7,2017,4689.25,"4,689.25","4,689.25","4,689.25",0.09%
11,7,2017,4685.64,"4,685.64","4,685.64","4,685.64",-0.08%
12,7,2017,4720.28,"4,720.28","4,720.28","4,720.28",0.74%
13,7,2017,4729.25,"4,729.25","4,729.25","4,729.25",0.19%
14,7,2017,4751.43,"4,751.43","4,751.43","4,751.43",0.47%
17,7,2017,4751.33,"4,751.33","4,751.33","4,751.33",0.00%
18,7,2017,4754.27,"4,754.27","4,754.27","4,754.27",0.06%
19,7,2017,4780.25,"4,780.25","4,780.25","4,780.25",0.55%
20,7,2017,4779.84,"4,779.84","4,779.84","4,779.84",-0.01%
21,7,2017,4778.07,"4,778.07","4,778.07","4,778.07",-0.04%
24,7,2017,4773.1,"4,773.10","4,773.10","4,773.10",-0.10%
25,7,2017,4787.04,"4,787.04","4,787.04","4,787.04",0.29%
26,7,2017,4788.41,"4,788.41","4,788.41","4,788.41",0.03%
27,7,2017,4784.26,"4,784.26","4,784.26","4,784.26",-0.09%
28,7,2017,4778.02,"4,778.02","4,778.02","4,778.02",-0.13%
31,7,2017,4774.56,"4,774.56","4,774.56","4,774.56",-0.07%
1,8,2017,4786.27,"4,786.27","4,786.27","4,786.27",0.25%
2,8,2017,4789.54,"4,789.54","4,789.54","4,789.54",0.07%
3,8,2017,4779.99,"4,779.99","4,779.99","4,779.99",-0.20%
4,8,2017,4789.11,"4,789.11","4,789.11","4,789.11",0.19%
7,8,2017,4797.13,"4,797.13","4,797.13","4,797.13",0.17%
8,8,2017,4786.12,"4,786.12","4,786.12","4,786.12",-0.23%
9,8,2017,4784.94,"4,784.94","4,784.94","4,784.94",-0.02%
10,8,2017,4717.4,"4,717.40","4,717.40","4,717.40",-1.41%
11,8,2017,4723.73,"4,723.73","4,723.73","4,723.73",0.13%
14,8,2017,4771.43,"4,771.43","4,771.43","4,771.43",1.01%
15,8,2017,4770.15,"4,770.15","4,770.15","4,770.15",-0.03%
16,8,2017,4778.28,"4,778.28","4,778.28","4,778.28",0.17%
17,8,2017,4704.73,"4,704.73","4,704.73","4,704.73",-1.54%
18,8,2017,4696.22,"4,696.22","4,696.22","4,696.22",-0.18%
21,8,2017,4701.82,"4,701.82","4,701.82","4,701.82",0.12%
22,8,2017,4748.73,"4,748.73","4,748.73","4,748.73",1.00%
23,8,2017,4732.76,"4,732.76","4,732.76","4,732.76",-0.34%
24,8,2017,4723.03,"4,723.03","4,723.03","4,723.03",-0.21%
25,8,2017,4731.46,"4,731.46","4,731.46","4,731.46",0.18%
28,8,2017,4733.97,"4,733.97","4,733.97","4,733.97",0.05%
29,8,2017,4738.62,"4,738.62","4,738.62","4,738.62",0.10%
30,8,2017,4761.72,"4,761.72","4,761.72","4,761.72",0.49%
31,8,2017,4789.18,"4,789.18","4,789.18","4,789.18",0.58%
1,9,2017,4798.99,"4,798.99","4,798.99","4,798.99",0.20%
5,9,2017,4762.75,"4,762.75","4,762.75","4,762.75",-0.76%
6,9,2017,4777.69,"4,777.69","4,777.69","4,777.69",0.31%
7,9,2017,4777.93,"4,777.93","4,777.93","4,777.93",0.01%
8,9,2017,4771.02,"4,771.02","4,771.02","4,771.02",-0.14%
11,9,2017,4822.8,"4,822.80","4,822.80","4,822.80",1.09%
12,9,2017,4839.31,"4,839.31","4,839.31","4,839.31",0.34%
13,9,2017,4843.04,"4,843.04","4,843.04","4,843.04",0.08%
14,9,2017,4839.29,"4,839.29","4,839.29","4,839.29",-0.08%
15,9,2017,4848.84,"4,848.84","4,848.84","4,848.84",0.20%
18,9,2017,4856.08,"4,856.08","4,856.08","4,856.08",0.15%
19,9,2017,4861.52,"4,861.52","4,861.52","4,861.52",0.11%
20,9,2017,4864.61,"4,864.61","4,864.61","4,864.61",0.06%
21,9,2017,4849.95,"4,849.95","4,849.95","4,849.95",-0.30%
22,9,2017,4853.2,"4,853.20","4,853.20","4,853.20",0.07%
25,9,2017,4842.41,"4,842.41","4,842.41","4,842.41",-0.22%
26,9,2017,4843.14,"4,843.14","4,843.14","4,843.14",0.02%
27,9,2017,4862.93,"4,862.93","4,862.93","4,862.93",0.41%
28,9,2017,4869.81,"4,869.81","4,869.81","4,869.81",0.14%
29,9,2017,4887.97,"4,887.97","4,887.97","4,887.97",0.37%
2,10,2017,4906.92,"4,906.92","4,906.92","4,906.92",0.39%
3,10,2017,4917.73,"4,917.73","4,917.73","4,917.73",0.22%
4,10,2017,4924.19,"4,924.19","4,924.19","4,924.19",0.13%
5,10,2017,4952.85,"4,952.85","4,952.85","4,952.85",0.58%
6,10,2017,4949.09,"4,949.09","4,949.09","4,949.09",-0.08%
9,10,2017,4940.16,"4,940.16","4,940.16","4,940.16",-0.18%
10,10,2017,4951.77,"4,951.77","4,951.77","4,951.77",0.24%
11,10,2017,4960.79,"4,960.79","4,960.79","4,960.79",0.18%
12,10,2017,4952.85,"4,952.85","4,952.85","4,952.85",-0.16%
13,10,2017,4957.27,"4,957.27","4,957.27","4,957.27",0.09%
16,10,2017,4966.05,"4,966.05","4,966.05","4,966.05",0.18%
17,10,2017,4969.38,"4,969.38","4,969.38","4,969.38",0.07%
18,10,2017,4973.28,"4,973.28","4,973.28","4,973.28",0.08%
19,10,2017,4975.32,"4,975.32","4,975.32","4,975.32",0.04%
20,10,2017,5001.11,"5,001.11","5,001.11","5,001.11",0.52%
23,10,2017,4981.37,"4,981.37","4,981.37","4,981.37",-0.39%
24,10,2017,4989.56,"4,989.56","4,989.56","4,989.56",0.16%
25,10,2017,4966.29,"4,966.29","4,966.29","4,966.29",-0.47%
26,10,2017,4972.6,"4,972.60","4,972.60","4,972.60",0.13%
27,10,2017,5012.75,"5,012.75","5,012.75","5,012.75",0.81%
30,10,2017,4997.15,"4,997.15","4,997.15","4,997.15",-0.31%
31,10,2017,5002.03,"5,002.03","5,002.03","5,002.03",0.10%
1,11,2017,5009.99,"5,009.99","5,009.99","5,009.99",0.16%
2,11,2017,5011.48,"5,011.48","5,011.48","5,011.48",0.03%
3,11,2017,5027.49,"5,027.49","5,027.49","5,027.49",0.32%
6,11,2017,5034.3,"5,034.30","5,034.30","5,034.30",0.14%
7,11,2017,5033.38,"5,033.38","5,033.38","5,033.38",-0.02%
8,11,2017,5040.74,"5,040.74","5,040.74","5,040.74",0.15%
9,11,2017,5023.01,"5,023.01","5,023.01","5,023.01",-0.35%
10,11,2017,5020.31,"5,020.31","5,020.31","5,020.31",-0.05%
13,11,2017,5025.36,"5,025.36","5,025.36","5,025.36",0.10%
14,11,2017,5014.53,"5,014.53","5,014.53","5,014.53",-0.22%
15,11,2017,4987.96,"4,987.96","4,987.96","4,987.96",-0.53%
16,11,2017,5030.48,"5,030.48","5,030.48","5,030.48",0.85%
17,11,2017,5017.45,"5,017.45","5,017.45","5,017.45",-0.26%
20,11,2017,5024.01,"5,024.01","5,024.01","5,024.01",0.13%
21,11,2017,5056.95,"5,056.95","5,056.95","5,056.95",0.66%
22,11,2017,5053.6,"5,053.60","5,053.60","5,053.60",-0.07%
24,11,2017,5064.23,"5,064.23","5,064.23","5,064.23",0.21%
27,11,2017,5062.85,"5,062.85","5,062.85","5,062.85",-0.03%
28,11,2017,5112.91,"5,112.91","5,112.91","5,112.91",0.99%
29,11,2017,5111.68,"5,111.68","5,111.68","5,111.68",-0.02%
30,11,2017,5155.44,"5,155.44","5,155.44","5,155.44",0.86%
1,12,2017,5145.21,"5,145.21","5,145.21","5,145.21",-0.20%
4,12,2017,5139.91,"5,139.91","5,139.91","5,139.91",-0.10%
5,12,2017,5120.92,"5,120.92","5,120.92","5,120.92",-0.37%
6,12,2017,5120.46,"5,120.46","5,120.46","5,120.46",-0.01%
7,12,2017,5136.37,"5,136.37","5,136.37","5,136.37",0.31%
8,12,2017,5165.19,"5,165.19","5,165.19","5,165.19",0.56%
11,12,2017,5181.75,"5,181.75","5,181.75","5,181.75",0.32%
12,12,2017,5189.96,"5,189.96","5,189.96","5,189.96",0.16%
13,12,2017,5187.68,"5,187.68","5,187.68","5,187.68",-0.04%
14,12,2017,5167.45,"5,167.45","5,167.45","5,167.45",-0.39%
15,12,2017,5214.1,"5,214.10","5,214.10","5,214.10",0.90%
18,12,2017,5242.28,"5,242.28","5,242.28","5,242.28",0.54%
19,12,2017,5225.43,"5,225.43","5,225.43","5,225.43",-0.32%
20,12,2017,5221.79,"5,221.79","5,221.79","5,221.79",-0.07%
21,12,2017,5232.16,"5,232.16","5,232.16","5,232.16",0.20%
22,12,2017,5229.79,"5,229.79","5,229.79","5,229.79",-0.05%
26,12,2017,5224.51,"5,224.51","5,224.51","5,224.51",-0.10%
27,12,2017,5229.01,"5,229.01","5,229.01","5,229.01",0.09%
28,12,2017,5239.59,"5,239.59","5,239.59","5,239.59",0.20%
29,12,2017,5212.76,"5,212.76","5,212.76","5,212.76",-0.51%
2,1,2018,5256.28,"5,256.28","5,256.28","5,256.28",0.83%
3,1,2018,5289.92,"5,289.92","5,289.92","5,289.92",0.64%
4,1,2018,5312.33,"5,312.33","5,312.33","5,312.33",0.42%
5,1,2018,5349.69,"5,349.69","5,349.69","5,349.69",0.70%
8,1,2018,5358.68,"5,358.68","5,358.68","5,358.68",0.17%
9,1,2018,5367.26,"5,367.26","5,367.26","5,367.26",0.16%
10,1,2018,5361.33,"5,361.33","5,361.33","5,361.33",-0.11%
11,1,2018,5399.46,"5,399.46","5,399.46","5,399.46",0.71%
12,1,2018,5435.92,"5,435.92","5,435.92","5,435.92",0.68%
16,1,2018,5416.85,"5,416.85","5,416.85","5,416.85",-0.35%
17,1,2018,5467.85,"5,467.85","5,467.85","5,467.85",0.94%
18,1,2018,5459.5,"5,459.50","5,459.50","5,459.50",-0.15%
19,1,2018,5483.57,"5,483.57","5,483.57","5,483.57",0.44%
22,1,2018,5527.89,"5,527.89","5,527.89","5,527.89",0.81%
23,1,2018,5540.13,"5,540.13","5,540.13","5,540.13",0.22%
24,1,2018,5537.03,"5,537.03","5,537.03","5,537.03",-0.06%
25,1,2018,5540.38,"5,540.38","5,540.38","5,540.38",0.06%
26,1,2018,5606.09,"5,606.09","5,606.09","5,606.09",1.19%
29,1,2018,5568.67,"5,568.67","5,568.67","5,568.67",-0.67%
30,1,2018,5508.36,"5,508.36","5,508.36","5,508.36",-1.08%
31,1,2018,5511.21,"5,511.21","5,511.21","5,511.21",0.05%
1,2,2018,5508.7,"5,508.70","5,508.70","5,508.70",-0.05%
2,2,2018,5392.21,"5,392.21","5,392.21","5,392.21",-2.11%
5,2,2018,5171.26,"5,171.26","5,171.26","5,171.26",-4.10%
6,2,2018,5262.02,"5,262.02","5,262.02","5,262.02",1.76%
7,2,2018,5235.84,"5,235.84","5,235.84","5,235.84",-0.50%
8,2,2018,5040.06,"5,040.06","5,040.06","5,040.06",-3.74%
9,2,2018,5116.99,"5,116.99","5,116.99","5,116.99",1.53%
12,2,2018,5188.37,"5,188.37","5,188.37","5,188.37",1.39%
13,2,2018,5202.22,"5,202.22","5,202.22","5,202.22",0.27%
14,2,2018,5273.43,"5,273.43","5,273.43","5,273.43",1.37%
15,2,2018,5338.35,"5,338.35","5,338.35","5,338.35",1.23%
16,2,2018,5340.82,"5,340.82","5,340.82","5,340.82",0.05%
20,2,2018,5309.99,"5,309.99","5,309.99","5,309.99",-0.58%
21,2,2018,5280.91,"5,280.91","5,280.91","5,280.91",-0.55%
22,2,2018,5286.5,"5,286.50","5,286.50","5,286.50",0.11%
23,2,2018,5371.56,"5,371.56","5,371.56","5,371.56",1.61%
26,2,2018,5435.38,"5,435.38","5,435.38","5,435.38",1.19%
27,2,2018,5367.09,"5,367.09","5,367.09","5,367.09",-1.26%
28,2,2018,5308.09,"5,308.09","5,308.09","5,308.09",-1.10%
1,3,2018,5238.18,"5,238.18","5,238.18","5,238.18",-1.32%
2,3,2018,5265.24,"5,265.24","5,265.24","5,265.24",0.52%
5,3,2018,5323.36,"5,323.36","5,323.36","5,323.36",1.10%
6,3,2018,5337.69,"5,337.69","5,337.69","5,337.69",0.27%
7,3,2018,5335.47,"5,335.47","5,335.47","5,335.47",-0.04%
8,3,2018,5360.73,"5,360.73","5,360.73","5,360.73",0.47%
9,3,2018,5454.03,"5,454.03","5,454.03","5,454.03",1.74%
12,3,2018,5447.1,"5,447.10","5,447.10","5,447.10",-0.13%
13,3,2018,5412.75,"5,412.75","5,412.75","5,412.75",-0.63%
14,3,2018,5383.27,"5,383.27","5,383.27","5,383.27",-0.54%
15,3,2018,5379.39,"5,379.39","5,379.39","5,379.39",-0.07%
16,3,2018,5388.74,"5,388.74","5,388.74","5,388.74",0.17%
19,3,2018,5312.23,"5,312.23","5,312.23","5,312.23",-1.42%
20,3,2018,5320.2,"5,320.20","5,320.20","5,320.20",0.15%
21,3,2018,5310.96,"5,310.96","5,310.96","5,310.96",-0.17%
22,3,2018,5177.52,"5,177.52","5,177.52","5,177.52",-2.51%
23,3,2018,5069.03,"5,069.03","5,069.03","5,069.03",-2.10%
26,3,2018,5206.69,"5,206.69","5,206.69","5,206.69",2.72%
27,3,2018,5116.75,"5,116.75","5,116.75","5,116.75",-1.73%
28,3,2018,5102.69,"5,102.69","5,102.69","5,102.69",-0.27%
