,index.svix2,box_12m,SimpleReturn,ExcessReturns,LowerBound,ExcessReturns_LowerBound
2006-08-28,0.014306459,1.0560560307193598,1.1477928411588212,0.09173681043946136,0.015108422305189263,0.0766283881342721
2006-08-29,0.014194081,1.056220996851889,1.1185760064089725,0.06235500955708351,0.014992086383216459,0.04736292317386705
2006-08-30,0.014051611,1.0561456719041742,1.1428871716848175,0.08674149978064327,0.014840548140931085,0.07190095163971219
2006-08-31,0.014024943,1.055694419684444,1.138548727858938,0.08285430817449391,0.014806054061492404,0.0680482541130015
2006-09-01,0.013834355,1.0555164686422747,1.1450059000134432,0.08948943137116849,0.014602389535543596,0.07488704183562489
2006-09-05,0.013939442,1.0553050456441395,1.1549850894632205,0.09968004381908102,0.014710363476063835,0.08496968034301719
2006-09-06,0.014885451,1.0557252632544074,1.1534515814938615,0.0977263182394541,0.015714946675635583,0.08201137156381852
2006-09-07,0.014984069,1.0556308370611076,1.164110684693862,0.10847984763275442,0.015817645301051394,0.09266220233170303
2006-09-08,0.014536745,1.0556396239747803,1.140109724483029,0.08447010050824866,0.015345564025617268,0.0691245364826314
2006-09-11,0.014591472,1.0557597972378274,1.1380976053105967,0.08233780807276925,0.015405089520121436,0.06693271855264782
2006-09-12,0.013982906,1.0558335799945155,1.1416722986403753,0.08583871864585979,0.01476362170070679,0.071075096945153
2006-09-13,0.013682695,1.0552111480948345,1.1374171611836732,0.08220601308883868,0.014438132299981452,0.06776788078885723
2006-09-14,0.013981596,1.0556436655971924,1.1485583737226568,0.09291470812546443,0.014759583252339043,0.07815512487312538
2006-09-15,0.013623642,1.0556717966258735,1.1456791953937777,0.0900073987679042,0.01438209462672771,0.07562530414117649
2006-09-18,0.013668302,1.0557887053322366,1.138669589560529,0.08288088422829243,0.01443083887267002,0.06845004535562241
2006-09-19,0.014034851,1.055586126992096,1.174482929242949,0.11889680225085297,0.014814994010001145,0.10408180824085182
2006-09-20,0.013647701,1.0552842440440144,1.1755078534546834,0.12022360941066901,0.01440220383272374,0.10582140557794527
2006-09-21,0.014152712,1.055115274819366,1.1739317592574268,0.11881648443806081,0.014932742611319338,0.10388374182674147
2006-09-22,0.014153228,1.0542962678802512,1.182263688625012,0.12796742074476075,0.014921695458858273,0.11304572528590248
2006-09-25,0.013729575,1.0540572504038512,1.1657726403359114,0.1117153899320602,0.014471758073713457,0.09724363185834675
2006-09-26,0.013172699,1.0542019390661075,1.1566757759125514,0.10247383684644396,0.013886684828534175,0.08858715201790979
2006-09-27,0.013245216,1.0541996561953668,1.162714576310873,0.10851492011550623,0.013963102153433372,0.09455181796207286
2006-09-28,0.013450462,1.0543278239205478,1.1650445730867167,0.11071674916616892,0.01418119633118602,0.0965355528349829
2006-09-29,0.013695005,1.0544054983681403,1.1643963316722714,0.10999083330413106,0.014440088572179174,0.0955507447319519
2006-10-02,0.013863135,1.0541122771624694,1.1838647593768823,0.12975248221441293,0.01461330080346073,0.11513918141095221
2006-10-03,0.013747435,1.0541483010235715,1.18108470004105,0.12693639901747855,0.014491835248681983,0.11244456376879657
2006-10-04,0.013538998,1.053831168537214,1.1616500518960151,0.10781888335880119,0.014267818083163002,0.09355106527563818
2006-10-05,0.013501522,1.054069274322023,1.161213119332765,0.10714384501074203,0.01423153949678283,0.09291230551395921
2006-10-06,0.013399269,1.0545937937964858,1.1758093720576517,0.12121557826116591,0.014130785928809644,0.10708479233235627
2006-10-10,0.01337956,1.0549950970529403,1.1781503218569,0.1231552248039598,0.014115370200725638,0.10903985460323416
2006-10-11,0.013591945,1.0550201300696764,1.1791206139292436,0.12410048385956718,0.014339775581799887,0.1097607082777673
2006-10-12,0.013051613,1.0551734665546137,1.162002973672007,0.10682950711739325,0.013771715733339263,0.09305779138405398
2006-10-13,0.012824173,1.0553309933076318,1.1651502645553133,0.10981927124768154,0.013533747230438911,0.09628552401724262
2006-10-16,0.012889279,1.055293758761926,1.1524846996563967,0.09719094089447067,0.013601975683641158,0.08358896521082951
2006-10-17,0.013279377,1.0550228407406652,1.149113002607973,0.09409016186730779,0.014010046045806253,0.08008011582150154
2006-10-18,0.013161824,1.0553387937376788,1.1495247316033212,0.09418593786564244,0.013890183463547631,0.08029575440209481
2006-10-19,0.012984727,1.0552923383195658,1.1478039574516756,0.09251161913210981,0.013702682918271201,0.07880893621383861
2006-10-20,0.012396575,1.0552668363908049,1.117056824348124,0.06178998795731916,0.013081694482331341,0.04870829347498782
2006-10-23,0.012556772,1.0559768196208146,1.1144468308559856,0.05847001123517104,0.013259660161263696,0.04521035107390734
